18:51:28.812,-> ,from: ,1782,Range: ,0.19,m	 ,0.1
18:51:28.943,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:29.042,-> ,from: ,1782,Range: ,0.03, m	,0.1
18:51:29.141,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.239,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.338,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.539,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:29.635,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.734,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.832,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.930,-> ,from: ,1782,Range: ,0.12,m	 ,0.1
18:51:30.062,-> ,from: ,1782,Range: ,0.01,m	 ,0.1
18:51:30.161,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.260,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.359,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.458,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.557,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.656,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.755,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.855,-> ,from: ,1782,Range: ,0.05,m	 ,0.1
18:51:28.217,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.321,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:28.416,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.516,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.614,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.713,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.812,-> ,from: ,1782,Range: ,0.19,m	 ,0.1
18:51:28.943,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:29.042,-> ,from: ,1782,Range: ,0.03, m	,0.1
18:51:29.141,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.239,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.338,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.539,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:29.635,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.734,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.832,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.930,-> ,from: ,1782,Range: ,0.12,m	 ,0.1
18:51:30.062,-> ,from: ,1782,Range: ,0.01,m	 ,0.1
18:51:30.161,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.260,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.359,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.458,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.557,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.656,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.755,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.855,-> ,from: ,1782,Range: ,0.00,m	 ,0.1
18:51:28.217,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.321,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:28.416,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.516,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.614,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.713,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.812,-> ,from: ,1782,Range: ,0.19,m	 ,0.1
18:51:28.943,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:29.042,-> ,from: ,1782,Range: ,0.05, m	,0.1
18:51:29.141,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.239,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.338,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.539,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:29.635,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.734,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.832,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.930,-> ,from: ,1782,Range: ,0.12,m	 ,0.1
18:51:30.062,-> ,from: ,1782,Range: ,0.01,m	 ,0.1
18:51:30.161,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.260,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.359,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.458,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.557,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.656,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.755,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.855,-> ,from: ,1782,Range: ,0.05,m	 ,0.1
18:51:28.217,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.321,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:28.416,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.516,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.614,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.713,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.812,-> ,from: ,1782,Range: ,0.19,m	 ,0.1
18:51:28.943,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:29.042,-> ,from: ,1782,Range: ,0.03, m	,0.1
18:51:29.141,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.239,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.338,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.539,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:29.635,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.734,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.832,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.930,-> ,from: ,1782,Range: ,0.12,m	 ,0.1
18:51:30.062,-> ,from: ,1782,Range: ,0.01,m	 ,0.1
18:51:30.161,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.260,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.359,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.458,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.557,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.656,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.755,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.855,-> ,from: ,1782,Range: ,0.05,m	 ,0.1
18:51:28.217,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.321,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:28.416,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.516,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.614,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.713,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.812,-> ,from: ,1782,Range: ,0.19,m	 ,0.1
18:51:28.943,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:29.042,-> ,from: ,1782,Range: ,0.03, m	,0.1
18:51:29.141,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.239,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.338,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.539,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:29.635,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.734,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.832,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.930,-> ,from: ,1782,Range: ,0.12,m	 ,0.1
18:51:30.062,-> ,from: ,1782,Range: ,0.01,m	 ,0.1
18:51:30.161,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.260,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.359,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.458,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.557,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.656,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.755,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.855,-> ,from: ,1782,Range: ,0.00,m	 ,0.1
18:51:28.217,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.321,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:28.416,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.516,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.614,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.713,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.812,-> ,from: ,1782,Range: ,0.19,m	 ,0.1
18:51:28.943,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:29.042,-> ,from: ,1782,Range: ,0.03, m	,0.1
18:51:29.141,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.239,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.338,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.539,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:29.635,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.734,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.832,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.930,-> ,from: ,1782,Range: ,0.12,m	 ,0.1
18:51:30.062,-> ,from: ,1782,Range: ,0.03,m	 ,0.1
18:51:30.161,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.260,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.359,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.458,-> ,from: ,1782,Range: ,0.14,m	 ,0.1
18:51:30.557,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.656,-> ,from: ,1782,Range: ,0.09,m	 ,0.1
18:51:30.755,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:30.855,-> ,from: ,1782,Range: ,0.03,m	 ,0.1
18:51:28.217,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.321,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:28.416,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.516,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.614,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:28.713,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:28.812,-> ,from: ,1782,Range: ,0.19,m	 ,0.1
18:51:28.943,-> ,from: ,1782,Range: ,0.08,m	 ,0.1
18:51:29.042,-> ,from: ,1782,Range: ,0.05, m	,0.1
18:51:29.141,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.239,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.338,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.539,-> ,from: ,1782,Range: ,0.07,m	 ,0.1
18:51:29.635,-> ,from: ,1782,Range: ,0.11,m	 ,0.1
18:51:29.734,-> ,from: ,1782,Range: ,0.16,m	 ,0.1
18:51:29.832,-> ,from: ,1782,Range: ,0.15,m	 ,0.1
18:51:29.930,-> ,from: ,1782,Range: ,0.12,m	 ,0.1
18:51:30.062,-> ,from: ,1782,Range: ,0.01,m	 ,0.1
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.164,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.263,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.362,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:25.461,-> ,from: ,1782,Range: ,0.19,m	 ,0.2
11:10:24.042,-> ,from: ,1782,Range: ,0.24,m	 ,0.2
11:10:24.238,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.338,-> ,from: ,1782,Range: ,0.23,m	 ,0.2
11:10:24.437,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.536,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.635,-> ,from: ,1782,Range: ,0.22,m	 ,0.2
11:10:24.734,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:24.834,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
11:10:25.031,-> ,from: ,1782,Range: ,0.21,m	 ,0.2
